NO,"TANGGAL
PEMESANAN",INSTANSI,ITEM PROJECT,QTY,SATUAN,HARGA,JUMLAH,RAB,REALISASI,PROFIT,SERAGAM SEKOLAH
1,1,Balai Besar Wilayah Sungai Jombang,PDH BBWS,30,pcs,"Rp  200,000","Rp  6,000,000","Rp  3,428,575","Rp  3,251,000","Rp  2,749,000",no
2,1,Puskesmas Ketabang Surabaya,PDH Puskesmas Ketabang,49,pcs,"Rp  180,628","Rp  8,850,772","Rp  6,725,000","Rp  5,961,050","Rp  2,889,722",no
3,2,SMPN 41 Surabaya,ATK SMPN 41,1,Paket ATK,"Rp  5,875,233","Rp  5,875,233","Rp  4,090,000","Rp  4,052,200","Rp  1,823,033",no
4,3,OSIS SMPN 12 Surabaya,Kaos OSIS,56,pcs,"Rp  67,200","Rp  3,763,200","Rp  2,194,000","Rp  2,144,690","Rp  1,618,510",no
5,3,HMP Tapsitera UINSA,PDH HMP TAPSITERA UINSA,45,pcs,"Rp  120,000","Rp  5,400,000","Rp  4,101,000","Rp  4,077,500","Rp  1,322,500",no
6,3,Pondok Bu Nyai Orange Pacet Mojokerto,Mukena Dewasa,50,pcs,"Rp  150,000","Rp  7,500,000","Rp  7,080,000","Rp  6,904,600","Rp  595,400",no
,3,Pondok Bu Nyai Orange Pacet Mojokerto,Mukena Remaja,40,pcs,"Rp  70,000","Rp  2,800,000","Rp  2,600,000","Rp  2,600,000","Rp  200,000",no
,3,Pondok Bu Nyai Orange Pacet Mojokerto,Baju Koko Dewasa,40, pcs,"Rp  125,000","Rp  5,000,000","Rp  5,193,000","Rp  5,184,250","Rp  815,750",no
,3,Pondok Bu Nyai Orange Pacet Mojokerto,Baju Koko SD,10,pcs,"Rp  100,000","Rp  1,000,000",,,,no
7,3,Pencak Silat Pagar Nusa Surabaya,PDH Pagar Nusa Sidosermo,24,pcs,"Rp  125,000","Rp  3,000,000","Rp  2,554,500","Rp  2,543,500","Rp  456,500",no
8,3,SMP Al Falah Surabaya,Seragam Wisuda Wali Murid,27,pcs,"Rp  120,000","Rp  3,240,000","Rp  2,077,500","Rp  2,108,500","Rp  1,131,500",no
9,4,RSJ Menur Surabaya,Jersey Keswa Uk. S-XL,20,pcs,"Rp  98,000","Rp  2,990,000","Rp  1,960,000","Rp  2,008,120","Rp  981,880",no
,4,RSJ Menur Surabaya,Jersey Keswa Uk. 2XL-4XL,10,pcs,"Rp  103,000",,"Rp  1,030,000",,,no
10,4,Pondok Pesantren Al Khadijah,Seragam Wisuda Pondok,58,pcs,"Rp  248,500","Rp  14,413,000","Rp  12,005,000","Rp  11,932,000","Rp  2,481,000",no
11,5,Satpol PP Surabaya,PDL Satpol PP,395,pcs,"Rp  555,000","Rp  219,225,000","Rp  181,553,000","Rp  183,525,853","Rp  35,699,147",no
12,5,MTS MA Al - Kharimiyyah Sumenep,Atasan Putih Panjang & Pendek Uk. S-XL 140 pcs x Rp49.000,140,pcs,"Rp  49,000","Rp  6,860,000","Rp  32,765,200","Rp  36,482,166","Rp  8,705,834",yes
,5,MTS MA Al - Kharimiyyah Sumenep,Atasan Putih Panjang & Pendek Uk. 2XL-3XL 30 pcs x Rp50.000,30,pcs,"Rp  50,000","Rp  1,500,000",,,,yes
,5,MTS MA Al - Kharimiyyah Sumenep,Atasan Pramuka Panjang & Pendek Uk. S-XL  164 pcs x Rp47.000,164,pcs,"Rp  47,000","Rp  7,708,000",,,,yes
,5,MTS MA Al - Kharimiyyah Sumenep,Atasan Pramuka Panjang & Pendek Uk. 2XL-3XL  65 pcs x Rp48.000,65,pcs,"Rp  48,000","Rp  3,120,000",,,,yes
,5,MTS MA Al - Kharimiyyah Sumenep,Rok Abu-Abu Uk. S-XL  60 pcs x Rp60.000,60,pcs,"Rp  60,000","Rp  3,600,000",,,,yes
,5,MTS MA Al - Kharimiyyah Sumenep,Rok Abu-Abu Uk. 2XL-3XL 10 pcs x Rp60.000,10,pcs,"Rp  61,000","Rp  610,000",,,,yes
,5,MTS MA Al - Kharimiyyah Sumenep,Rok Pramuka Uk. S-XL  90 pcs x Rp54.000,90,pcs,"Rp  54,000","Rp  4,860,000",,,,yes
